Id,Components
2098642,"['IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'IMAGE', 'AVATAR', 'TEXT']"
4853,"['COLUMN_BAR_CHART', 'ICON', 'TEXT', 'TEXT', 'TEXT']"
2098714,"['TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXT', 'TEXT', 'CHECKBOX', 'TEXT', 'DIVIDER', 'TEXT', 'DIVIDER', 'BUTTON', 'BUTTON', 'BUTTON']"
319373,"['TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTAREA', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'CHECKBOX', 'TEXT', 'TEXT', 'TEXT', 'TEXT']"
48667,"['DIVIDER', 'TEXT', 'IMAGE', 'SIDEBAR_MENU', 'TEXT', 'SIDEBAR_MENU']"
2098611,"['AVATAR', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'TEXT', 'AVATAR']"
319640,"['ICON', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON']"
61330,"['COLLAPSED_SIDEBAR_MENU', 'AVATAR', 'IMAGE']"
2098693,"['IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE']"
2288423,['TAG']
2098709,['RECTANGLE']
473769,"['TEXT', 'BUTTON', 'BUTTON']"
2288601,"['AVATAR', 'TEXT', 'ICON', 'ICON', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX', 'TEXTBOX', 'ICON', 'TEXT', 'TEXT', 'TEXTBOX', 'BUTTON', 'DIVIDER', 'BUTTON', 'BUTTON']"
2098779,"['ICON', 'ICON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON', 'ICON']"
473796,['SIDEBAR_MENU']
2288531,"['TEXT', 'ICON', 'IMAGE', 'TEXT', 'TEXT', 'RATING', 'TEXT']"
319570,"['TEXT', 'TEXTBOX', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'ICON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']"
2098806,"['TEXTBOX', 'BUTTON']"
2098810,"['TEXT', 'TEXT', 'BUTTON', 'IMAGE', 'ICON']"
2098636,"['ICON', 'TEXT', 'BUTTON', 'BUTTON']"
4850,"['BUTTON', 'TEXT', 'TEXT', 'TEXT', 'TAG', 'AVATAR', 'TEXT', 'CHECKBOX', 'DIVIDER']"
319449,"['ICON', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON', 'TEXT', 'BUTTON', 'TAG', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON']"
2098801,"['ICON', 'TEXT', 'ICON']"
4848,"['AVATAR', 'TEXT', 'TEXT', 'TEXT']"
474095,"['ICON', 'TEXT', 'TEXT', 'ICON']"
473525,"['TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT']"
2724,"['TEXT', 'TEXT', 'TEXTBOX', 'TEXT', 'TEXTBOX', 'TEXTAREA', 'CHECKBOX', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX']"
2098818,"['TEXT', 'TEXT', 'BUTTON', 'ICON', 'IMAGE']"
473640,"['ICON', 'TEXT']"
2729,"['TEXT', 'ICON', 'AVATAR', 'DIVIDER', 'TEXT', 'IMAGE', 'SIDEBAR_MENU', 'SIDEBAR_MENU']"
319537,"['ICON', 'TEXT', 'BUTTON', 'BUTTON', 'TEXT']"
2098731,"['TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'BUTTON', 'TEXT', 'CHECKBOX', 'TEXT', 'DIVIDER', 'DIVIDER']"
2728,"['TEXT', 'TEXT', 'AVATAR', 'SIDEBAR_MENU', 'ICON', 'IMAGE']"
2288631,"['AVATAR', 'ICON', 'TEXTBOX']"
473633,"['SLIDER', 'TEXT']"
2098704,"['SLIDER', 'TEXT']"
2288387,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON']"
473625,['CHECKBOX']
473664,"['TEXT', 'BUTTON', 'BUTTON']"
4849,"['TEXT', 'TEXT', 'TEXT', 'TAG', 'ICON', 'ICON', 'AVATAR', 'AVATAR', 'AVATAR', 'TAG']"
319588,"['AVATAR', 'TEXT', 'TEXT']"
2288403,"['SIDEBAR_MENU', 'DIVIDER', 'SIDEBAR_MENU']"
473532,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
473678,"['TEXT', 'ICON', 'ICON']"
473609,"['ICON', 'TEXT']"
473671,"['TEXT', 'ICON', 'ICON']"
2727,"['ICON', 'ICON', 'AVATAR', 'IMAGE', 'TEXT', 'HEADER_MENU', 'TEXTBOX']"
4817,"['TEXT', 'TEXT', 'TEXT', 'BUTTON', 'IMAGE']"
473614,"['DIVIDER', 'SIDEBAR_MENU', 'TEXT', 'SIDEBAR_MENU']"
319546,"['ICON', 'ICON', 'TEXT', 'BUTTON', 'BUTTON', 'IMAGE', 'TEXT']"
473604,"['TEXT', 'ICON']"
4835,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'TAG', 'IMAGE', 'TAG']"
2288669,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
2288653,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON']"
473539,"['TEXT', 'ICON', 'ICON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
2725,"['TEXT', 'TEXTBOX', 'TEXT', 'IMAGE', 'TEXTAREA', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'BUTTON', 'BUTTON', 'TEXTBOX']"
474069,['HEADER_MENU']
2288575,"['AVATAR', 'TEXT', 'TEXT', 'TEXT']"
2139458,"['SIDEBAR_MENU', 'SIDEBAR_MENU', 'IMAGE', 'DIVIDER']"
473596,"['TEXT', 'ICON', 'TEXTBOX', 'TEXTAREA', 'BUTTON', 'BUTTON']"
48666,"['ICON', 'TEXTBOX', 'AVATAR', 'ICON', 'BUTTON']"
2722,"['BUTTON', 'TEXTBOX', 'TEXT', 'DIVIDER', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'TEXTBOX', 'BUTTON', 'DIVIDER', 'BUTTON', 'CHECKBOX', 'TEXT', 'TEXT', 'TEXT']"
473960,"['TEXT', 'TEXT', 'TEXT', 'CHECKBOX', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'DIVIDER', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'CHECKBOX', 'AVATAR', 'TEXT', 'BUTTON', 'DIVIDER']"
2288551,"['BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'DIVIDER', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON']"
2139478,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'DIVIDER', 'IMAGE', 'DIVIDER']"
473572,"['SIDEBAR_MENU', 'DROPDOWN_BUTTON']"
319501,"['IMAGE', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON', 'ICON', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX', 'DIVIDER']"
319468,"['IMAGE', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON', 'ICON', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX', 'DIVIDER', 'TEXT', 'TEXT', 'TEXTBOX', 'BUTTON']"
2286525,"['TEXT', 'TEXT', 'AVATAR', 'SIDEBAR_MENU']"
473646,"['IMAGE', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
473655,"['IMAGE', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
319395,"['BUTTON', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXT', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'CHECKBOX', 'TEXT', 'TEXT']"
2139488,"['BUTTON', 'BUTTON', 'BUTTON']"
473736,"['IMAGE', 'AVATAR', 'TEXT', 'TEXT', 'BUTTON']"
473744,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
473757,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
2139511,"['ICON', 'TEXT', 'ICON']"
2139535,"['ICON', 'TEXT']"
2726,"['ICON', 'AVATAR', 'IMAGE', 'TEXTBOX', 'BUTTON', 'ICON']"
4788,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'IMAGE', 'TAG', 'TEXT', 'ICON']"
2288450,"['TEXT', 'TEXT']"
4847,"['TEXT', 'TEXT', 'BUTTON', 'IMAGE', 'TEXT']"
2288629,"['AVATAR', 'IMAGE', 'AVATAR', 'AVATAR', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON']"
319415,"['IMAGE', 'TEXT', 'TEXT', 'TAG', 'ICON', 'TEXT']"
473722,"['TEXT', 'TEXT', 'TEXT', 'AVATAR', 'AVATAR', 'AVATAR', 'AVATAR', 'AVATAR', 'BUTTON', 'BUTTON']"
2288641,"['IMAGE', 'TEXT', 'TEXT', 'RATING', 'TEXT', 'TEXT']"
2288684,"['ICON', 'ICON', 'TEXT']"
2139477,['IMAGE']
2139495,"['AVATAR', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'TEXT']"
474046,"['BUTTON', 'BUTTON', 'BUTTON']"
2139479,"['TEXT', 'TEXT', 'BUTTON', 'IMAGE', 'BUTTON']"
2139480,"['AVATAR', 'ICON', 'ICON', 'ICON', 'TEXT']"
474089,"['ICON', 'ICON', 'TEXT', 'TEXT']"
473825,"['TEXT', 'TEXT', 'TEXT', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TAG', 'TEXT', 'BUTTON']"
2193809,['IMAGE']
2268033,"['BUTTON', 'TABBAR_MENU', 'TABBAR_MENU']"
